class,precision,recall,f1,support
disapproval,0.3253968253968254,0.36607142857142855,0.3445378151260504,112.0
neutral,0.4631578947368421,0.3793103448275862,0.41706161137440756,116.0
disappointment,0.4329004329004329,0.5076142131979695,0.4672897196261682,197.0
nervousness,0.4787234042553192,0.46875,0.47368421052631576,96.0
disgust,0.4573170731707317,0.5319148936170213,0.4918032786885246,141.0
confusion,0.4731182795698925,0.5238095238095238,0.4971751412429379,84.0
realization,0.5340909090909091,0.49473684210526314,0.5136612021857924,95.0
surprise,0.5161290322580645,0.5647058823529412,0.5393258426966292,85.0
excitement,0.5555555555555556,0.5612244897959183,0.5583756345177665,98.0
desire,0.5050505050505051,0.625,0.5586592178770949,80.0
relief,0.49382716049382713,0.6666666666666666,0.5673758865248227,60.0
admiration,0.580952380952381,0.6039603960396039,0.5922330097087378,101.0
anger,0.594059405940594,0.6349206349206349,0.6138107416879796,189.0
grief,0.5378151260504201,0.7441860465116279,0.624390243902439,86.0
joy,0.5767634854771784,0.6813725490196079,0.6247191011235955,204.0
approval,0.6062992125984252,0.6695652173913044,0.6363636363636364,115.0
annoyance,0.59846547314578,0.6822157434402333,0.6376021798365122,343.0
caring,0.6079545454545454,0.7133333333333334,0.656441717791411,150.0
curiosity,0.6448598130841121,0.69,0.6666666666666666,100.0
optimism,0.6459627329192547,0.7323943661971831,0.6864686468646864,142.0
love,0.6162162162162163,0.7972027972027972,0.6951219512195121,143.0
remorse,0.7228915662650602,0.6896551724137931,0.7058823529411765,87.0
fear,0.6727272727272727,0.7551020408163265,0.7115384615384616,98.0
pride,0.7261904761904762,0.7093023255813954,0.7176470588235294,86.0
sadness,0.6469248291571754,0.8231884057971014,0.7244897959183674,345.0
amusement,0.722488038277512,0.8074866310160428,0.7626262626262627,374.0
embarrassment,0.8288288288288288,0.8598130841121495,0.8440366972477065,107.0
gratitude,0.8421052631578947,0.8888888888888888,0.8648648648648649,108.0
