class,precision,recall,f1-score,support
amusement,0.8096774193548387,0.6711229946524064,0.7339181286549707,374.0
excitement,0.5405405405405406,0.40816326530612246,0.46511627906976744,98.0
joy,0.6051282051282051,0.5784313725490197,0.5914786967418546,204.0
love,0.8106060606060606,0.7482517482517482,0.7781818181818182,143.0
desire,0.4205607476635514,0.5625,0.48128342245989303,80.0
optimism,0.6753246753246753,0.7323943661971831,0.7027027027027027,142.0
caring,0.704,0.5866666666666667,0.64,150.0
pride,0.7571428571428571,0.6162790697674418,0.6794871794871795,86.0
admiration,0.5185185185185185,0.5544554455445545,0.5358851674641149,101.0
gratitude,0.945054945054945,0.7962962962962963,0.864321608040201,108.0
relief,0.4927536231884058,0.5666666666666667,0.5271317829457365,60.0
approval,0.65,0.5652173913043478,0.6046511627906976,115.0
realization,0.44,0.4631578947368421,0.4512820512820513,95.0
surprise,0.6981132075471698,0.43529411764705883,0.5362318840579711,85.0
curiosity,0.6880733944954128,0.75,0.7177033492822966,100.0
confusion,0.4264705882352941,0.34523809523809523,0.3815789473684211,84.0
fear,0.6565656565656566,0.6632653061224489,0.6598984771573604,98.0
nervousness,0.4942528735632184,0.4479166666666667,0.46994535519125685,96.0
remorse,0.5929203539823009,0.7701149425287356,0.67,87.0
embarrassment,0.8469387755102041,0.7757009345794392,0.8097560975609757,107.0
disappointment,0.41245136186770426,0.5380710659898477,0.4669603524229075,197.0
sadness,0.6976744186046512,0.782608695652174,0.7377049180327869,345.0
grief,0.7638888888888888,0.6395348837209303,0.6962025316455697,86.0
disgust,0.4,0.624113475177305,0.48753462603878117,141.0
anger,0.621301775147929,0.5555555555555556,0.5865921787709497,189.0
annoyance,0.5428571428571428,0.6647230320699709,0.5976408912188729,343.0
disapproval,0.29107981220657275,0.5535714285714286,0.38153846153846155,112.0
neutral,0.39655172413793105,0.39655172413793105,0.39655172413793105,116.0
micro avg,0.5952380952380952,0.6215119228817859,0.6080913378009432,3942.0
macro avg,0.6035159845047383,0.599709396485603,0.5946885640801975,3942.0
weighted avg,0.6190265481179701,0.6215119228817859,0.6139173341019551,3942.0
samples avg,0.6038219641993227,0.643807450411224,0.5894398752889319,3942.0
